	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Apakah Tom mengatakan sesuatu kepadamu tentang hal itu?	Did Tom say anything to you about that?	Did Tom say anything to you about that?	True	True	0.4646983	277	277, 275, 276	1.0	277
1	Tolong jangan coba-coba kabur, sebab mata musuh-musuhmu sedang mengawasi.	Do not try to run away, please, because the eyes of your enemies are watchful.	Do not try to run away, please, because the eyes of your enemies are watchful.	True	True	0.5797657	100	100, 16, 756	1.0	100
2	Tambahkan sedikit gula.	Put in a little more sugar.	Put in a little more sugar.	True	True	0.6404314	43	43, 787, 134	1.0	43
3	Tanpa mengatakan sepatah kata maupun menangis, ia terdiam dan pergi ke luar.	Tom turned off the light and went to sleep.	He neither spoke nor wept, but went out in silence.	False	False	0.6220573	840	840, 727, 383	0	576
4	Sikapnya padaku berbeda dari biasanya.	Her behaviour toward me was a departure from the norm.	Her behaviour toward me was a departure from the norm.	True	True	0.6857414	965	965, 473, 763	1.0	965
5	Apakah kamu tinggal di sini?	Are you looking for something?	Do you live here?	False	True	0.599808	2	2, 494, 492	0.5	494
6	Bagaimana kamu bisa terluka?	How did you get injured?	How did you get injured?	True	True	0.65049386	159	159, 878, 530	1.0	159
7	Tom tidak seperti dirinya hari ini.	Tom isn't quite himself today.	Tom isn't quite himself today.	True	True	0.6584933	799	799, 937, 495	1.0	799
8	Dia punya kesempatan yang bagus untuk sukses.	He has a good chance to succeed.	He has a good chance to succeed.	True	True	0.5567403	743	743, 45, 581	1.0	743
9	Baiklah. Berapa banyak?	All right. How many?	All right. How many?	True	True	0.7135154	920	920, 938, 551	1.0	920
10	Kamu siapa?	Who am I talking with?	Who are you?	False	True	0.6550877	644	644, 506, 530	0.5	506
11	Aku suka pergi memancing dengan ayahku.	I want to meet with Tom.	I like to go fishing with my father.	False	False	0.6394141	589	589, 498, 128	0	678
12	Dia tidak menemukan hal yang mencurigakan.	Tom could do nothing to help Mary.	She didn't notice anything suspicious.	False	False	0.6535003	18	18, 593, 519	0	388
13	Aku mau kopi, roti panggang, dan jeli.	I want coffee, toast, and jelly.	I want coffee, toast, and jelly.	True	True	0.45824087	501	501, 447, 664	1.0	501
14	Saya sedang sibuk dan tidak bisa pergi.	I thought you might want to see Tom.	I am busy now and can't go out.	False	False	0.565779	128	128, 581, 502	0	461
15	Dia mengantarku pulang.	She allowed him to go alone.	She gave me a ride home.	False	False	0.6151012	783	783, 600, 832	0	505
16	Ia memperoleh keuntungan yang besar.	They gained great wealth.	They gained great wealth.	True	True	0.59891605	431	431, 617, 204	1.0	431
17	Telepon aku kalau sudah siap.	The men will be happy no matter what they get back.	Call me when you're ready.	False	False	0.6916759	570	570, 461, 495	0	898
18	Aku memberi Tom perintah langsung, tapi dia tidak mengacuhkannya.	I gave Tom a direct order, but he ignored it.	I gave Tom a direct order, but he ignored it.	True	True	0.57049537	392	392, 385, 553	1.0	392
19	Dia tidak memiliki keturunan untuk menggantikannya.	He has no children to succeed to him.	He has no children to succeed to him.	True	True	0.50544524	46	46, 783, 236	1.0	46
20	Saya alergi akan serbuk bunga.	I am allergic to pollen.	I am allergic to pollen.	True	True	0.6147014	259	259, 810, 472	1.0	259
21	Itu ada di bawah kursi.	It is under the chair.	It is under the chair.	True	True	0.64324844	891	891, 983, 653	1.0	891
22	Apa pekerjaan Anda?	What are you reading?	What is her profession?	False	False	0.62696946	551	551, 506, 938	0	926
23	Nama saya Ichiro Tanaka.	My name is Ichiro Tanaka.	My name is Ichiro Tanaka.	True	True	0.4262271	979	979, 922, 573	1.0	979
24	Kita wajib melalui pemeriksaan bea dan cukai saat kedatangan.	Customs will ask for a receipt.	It's necessary to go through customs on arriving.	False	False	0.5907532	913	913, 874, 81	0	929
25	Aula ini dapat menampung 2000 orang.	This hall holds two thousand people.	This hall holds two thousand people.	True	True	0.542194	539	539, 771, 823	1.0	539
26	Kau salah jika berpikir bahwa dia berbuat salah.	You are mistaken if you think he is wrong.	You are mistaken if you think he is wrong.	True	True	0.64128363	537	537, 996, 838	1.0	537
27	Aku harus menonton sebuah film dokumenter.	I should watch a documentary.	I should watch a documentary.	True	True	0.5994495	755	755, 128, 908	1.0	755
28	Tom dan Mary berdiri berdekatan satu sama lain.	Tom and Mary were standing close to each other.	Tom and Mary were standing close to each other.	True	True	0.4418888	763	763, 768, 83	1.0	763
29	Si gadis mendengarkan musik, si pemuda membaca buku.	The girl listened to music, the boy was reading a book.	The girl listened to music, the boy was reading a book.	True	True	0.47820866	630	630, 383, 82	1.0	630
