	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Сертификатым пемгыдемдыме огыл. Кече ден жапым шке компьютерыштет терге.	Memory allocation error	The certificate is not valid yet. Check that your computer's date and time are accurate.	False	False	1.1197991	130	130, 370, 932	0	500
1	%s %s. Ешартыш увераҥарым налашлан, `%s -h' пого.	%s %s. Try `%s -h' for more information.	%s %s. Try `%s -h' for more information.	True	True	1.1055949	383	383, 652, 215	1.0	383
2	Пайдаланышым тӱкылаш	On Vacation	Block User	False	False	1.374007	487	487, 810, 244	0	765
3	Электронике	Music Messaging Configuration	Electronics	False	False	1.3340716	749	749, 203, 887	0	172
4	Каталог серверым йодыштын кертме огыл.	Save buddylist to file...	Could not query the directory server.	False	False	1.158555	404	404, 444, 477	0	97
5	detach: Тиде сессийым кӱрлаш	detach: Detach this session	detach: Detach this session	True	True	1.1496401	779	779, 479, 572	1.0	779
6	Тӱшка-влакым иктыш ушаш	She lives in Yoshkar-Ola.	Merge Groups	False	False	1.24947	53	53, 919, 52	0	494
7	Монитор	Cancel	Monitor	False	False	1.2758527	332	332, 556, 269	0	516
8	Пыштыше	Delete	Boot loader	False	False	1.2136077	479	479, 826, 100	0	471
9	Тиде вашкылым кораҥдет гын, тушко пурышо чыламутланыше кораҥдалтеш	She lives in Yoshkar-Ola.	Removing this contact will also remove all the buddies in the contact	False	False	1.1922653	53	53, 52, 202	0	251
10	Тый %s мутланымаш лӱмер гыч кораҥдет. Шуйынет?	Attempting to connect to %s:%hu.	You are about to remove %s from your buddy list. Do you want to continue?	False	False	1.2492623	140	140, 4, 610	0	653
11	Койдымолан каласымашым колташ огеш лий:	Do you want to report the problem now?	Message could not be sent, not allowed while invisible:	False	False	1.1878883	877	877, 244, 810	0	386
12	Возалтмаш йоҥылыш	Save Playlist…	Registration Error	False	False	1.2850143	335	335, 384, 789	0	242
