	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	KAppfinder	KAppfinder	KAppfinder	True	True	0.8406987	500	500, 923, 565	1.0	500
1	Viidodat	Size:	Scope	False	False	1.0166192	431	431, 351, 930	0	383
2	1200 čd	1200dpi	1200dpi	True	True	0.9893763	765	765, 306, 348	1.0	765
3	Mendoza (MZ)	Mendoza (MZ)	Mendoza (MZ)	True	True	0.7309859	172	172, 284, 410	1.0	172
4	Iranalašgiella	Kurdish	Persian	False	False	0.91353893	526	526, 959, 342	0	97
5	Geavat & iežat signála	Open & Destination	Use customised bell	False	False	1.0627825	557	557, 845, 207	0	779
6	Lasit árvvu	Only on Hover	Add value	False	False	1.0894699	496	496, 28, 730	0	494
7	jeara	Rear	ask	False	False	1.0404975	183	183, 537, 176	0	516
8	& Vállje čálána	I want to learn.	& Select Printer	False	False	1.13664	28	28, 187, 26	0	471
9	Ii gávdnan prográmma « nspluginscan ». Ii sáhte ohcat Netscape- lassemoduvllaid.	The nspluginscan executable cannot be found. Netscape plugins will not be scanned.	The nspluginscan executable cannot be found. Netscape plugins will not be scanned.	True	True	0.68521655	251	251, 527, 552	1.0	251
10	Sáhttá čájehit/ lohkat ja rievdadit/ čállit	Can View/ Read & Modify/ Write	Can View/ Read & Modify/ Write	True	True	0.8269036	653	653, 883, 356	1.0	653
11	KDE- prográmma	The Common Desktop Environment, a proprietary industry standard desktop environment	KDE Application	False	False	0.8613291	289	289, 231, 988	0	386
12	Čájeheapmi	SHORTWEEKDAY	Browsing	False	True	0.9360157	651	651, 845, 242	0.3333333333333333	242
13	Geavaheaddjedieđut	Home Folder	User & Info	False	False	0.9963908	845	845, 242, 329	0	409
14	undo-type	undo-type	Could not open thumbnail '%s': %sundo-type	False	False	0.6714004	77	77, 785, 546	0	705
15	Badjerádji:	Glossy Paper	Max clients:	False	False	1.0847428	128	128, 425, 845	0	960
16	Go dát lea válljejuvvon, de vi- gohččumat badjelgehččet Kate sisahuksejuvvon gohččumiid. Ovdamearka dihte: Ctrl + R máksá « daga ođđasit », iige čájet ohcan - ja buhttenláseža mii lea standárda.	Service Manager This module allows you to have an overview of all plugins of the KDE Dæmon, also referred to as KDE Services. Generally, there are two types of service: Services invoked at startup Services called on demand The latter are only listed for convenience. The startup services can be started and stopped. In Administrator mode, you can also define whether services should be loaded at startup. Use this with care: some services are vital for KDE; do not deactivate services if you do not know what you are doing.	When selected, vi commands will override Kate 's built-in commands. For example: Ctrl+R will redo, and override the standard action (showing the search and replace dialogue).	False	True	0.6558385	527	527, 447, 199	0.5	447
17	Čájet olles dokumeantabálgá namahusholggas	Do you want to disable showing the introduction in the webbrowsing profile?	Show the complete document path in the window caption	False	False	0.98049366	777	777, 611, 325	0	129
18	Vállje visot	I want to learn.	Select all	False	False	1.0423831	28	28, 45, 252	0	353
19	Eretlaktimin	Plugin	Disconnect	False	False	1.0429968	359	359, 252, 731	0	950
20	Ovddit máŧasdoalli	Money:	Former co-maintainer	False	False	1.0636823	930	930, 961, 847	0	805
21	Gaskageardán	Adrar	Medium	False	False	1.0683568	806	806, 582, 592	0	791
22	Borg	Burn	Jul	False	False	0.9982059	585	585, 833, 173	0	467
23	& Gidde gilkora	& Send	& Close Tab	False	False	1.114142	444	444, 187, 580	0	868
24	Viečča ođđa, somás tiŋggaid!	Where do you come from?	Get Hot New Stuff!	False	False	1.0400255	56	56, 53, 371	0	645
25	Musihkka	Music	Music	True	True	0.98695683	712	712, 938, 126	1.0	712
26	Amerihká ovttastuvvan stáhtat	Forty-three countries participate in the contest, equalling the record of the 2008 and 2011 editions. 	United States	False	False	0.9832207	589	589, 207, 883	0	482
27	& Kryptere dán oasi	Encrypt this part	Encrypt this part	True	True	1.0412122	720	720, 936, 377	1.0	720
28	@ item: inmenu	& occurrence(s)@info: whatsthis	SVN Add@item: inmenu	False	True	0.8808763	788	788, 521, 222	0.5	521
29	Speadjalastte siidui ceakkoávssa bokte	Moved all messages to the trash	Mirror pages along vertical axis	False	False	0.9945587	889	889, 371, 318	0	182
30	KDE 2 ja 3 standárda sievánfáddá	The default cursor theme in KDE 2 and 3	The default cursor theme in KDE 2 and 3	True	True	0.7443259	400	400, 998, 584	1.0	400
31	Čáhci lea eallin.	The girl has a white horse.	Water is life.	False	False	0.91489744	42	42, 35, 40	0	46
32	Namahis dokumeanta	Configuration	Untitled Document	False	False	0.9406055	277	277, 666, 328	0	212
33	Mo manná?	What to do when archiving	How is it going?	False	False	1.1140285	436	436, 57, 50	0	14
34	Ii gávdnan CUPS- bálvá mii lea jođus	Service Manager This module allows you to have an overview of all plugins of the KDE Dæmon, also referred to as KDE Services. Generally, there are two types of service: Services invoked at startup Services called on demand The latter are only listed for convenience. The startup services can be started and stopped. In Administrator mode, you can also define whether services should be loaded at startup. Use this with care: some services are vital for KDE; do not deactivate services if you do not know what you are doing.	Unable to find a running CUPS server	False	True	0.8607161	527	527, 675, 207	0.5	675
35	kcmclock	kcmclock	kcmclock	True	True	0.6104412	223	223, 766, 164	1.0	223
36	Vuosttaš oassefinálii oassálasttii 19 riikka.	Nineteen countries participated in the first semi-final. 	Nineteen countries participated in the first semi-final. 	True	True	0.73315096	209	209, 589, 883	1.0	209
37	Seaillut álgoproporšuvnna (mihttogori)	Cached information (e. g. favicons, web-pages)	Retain original aspect ratio	False	False	0.9271288	749	749, 203, 554	0	956
38	Sádde láse ovtta čállinbeavddi vulosguvlui	I want to learn.	Window One Desktop Down	False	False	1.007464	28	28, 889, 21	0	538
39	(reiveteaksta)	Copy the selected text or item(s) to the clipboard	(body part)	False	True	0.97239363	828	828, 886, 749	0.5	886
40	zaire2006. kgm	malcolm. hunter@gmx. co. uk	Kasaï orientalzaire2006. kgm	False	False	0.90963364	396	396, 293, 755	0	958
41	undo-type	undo-type	Add Horizontal Guide	False	False	0.6714004	77	77, 785, 546	0	274
42	Oktiičatnon	Photons	Connecting	False	False	1.0304135	990	990, 716, 376	0	300
43	Geavat & iešmeroštuvvon siidoravddaid	This means that the contents of the requested file or folder %1 could not be retrieved, as read access could not be obtained.	& Use custom margins	False	False	0.91038823	207	207, 527, 371	0	615
44	Heaittihuvvo...	Configure...	Exiting...	False	False	0.8726399	726	726, 680, 208	0	166
45	Metralaš mihtut sáhttet geavahit dáid prefivssaid: E (exa, 1E+18), P (peta, 1E+15), T (tera, 1E+12), G (giga, 1E+09), M (mega, 1E+06), k (kilo, 1E+03), h (hecto, 1E+02), e (dekao, 1E+01), d (deci, 1E- 01), c (centi, 1E- 02), m (milli, 1E- 03), u (micro, 1E- 06), n (nano, 1E- 09), p (pico, 1E- 12), f (femto, 1E- 15), a (atto, 1E- 18).	For metric units any of the following prefixes can be used: E (exa, 1E+18), P (peta, 1E+15), T (tera, 1E+12), G (giga, 1E+09), M (mega, 1E+06), k (kilo, 1E+03), h (hecto, 1E+02), e (dekao, 1E+01), d (deci, 1E-01), c (centi, 1E-02), m (milli, 1E-03), u (micro, 1E-06), n (nano, 1E-09), p (pico, 1E-12), f (femto, 1E-15), a (atto, 1E-18).	For metric units any of the following prefixes can be used: E (exa, 1E+18), P (peta, 1E+15), T (tera, 1E+12), G (giga, 1E+09), M (mega, 1E+06), k (kilo, 1E+03), h (hecto, 1E+02), e (dekao, 1E+01), d (deci, 1E-01), c (centi, 1E-02), m (milli, 1E-03), u (micro, 1E-06), n (nano, 1E-09), p (pico, 1E-12), f (femto, 1E-15), a (atto, 1E-18).	True	True	0.2600385	539	539, 241, 474	1.0	539
46	Čálán	Cancel	Printer	False	False	0.99400663	876	876, 252, 359	0	917
47	Oidnen maiddái Niillasa.	Overwrite & Destination	I saw Nils as well	False	False	1.0309999	764	764, 557, 21	0	25
48	Mo hurgá?	No worries!	How is it going?	False	True	1.1189588	31	31, 13, 14	0.5	13
49	1200 čd	1200dpi	1200 DPI	False	True	0.9893763	765	765, 306, 348	0.5	306
50	Christian Gebauer	Christian Gebauer	Christian Gebauer	False	True	0.7020862	597	597, 534, 519	0.5	534
51	Muorra	Thermal Zone	Wood	False	False	1.0156169	108	108, 627, 568	0	833
52	Ii leat addon ulbmilfiilanama.	I have many books.	No target filename has been given.	False	False	0.82020307	19	19, 28, 59	0	892
53	Ivdnecoahkkádusaid ja merkenbuorideamit	Cached information (e. g. favicons, web-pages)	Schema and text selection improvements	False	False	0.96606374	749	749, 632, 818	0	698
54	IMSUM( árvu; árvu; …)	"ARABIC(""IV "") returns 4"	IMSUM(value; value;...)	False	True	0.89152455	89	89, 804, 423	0.5	804
55	Doaimmat   …	Money:	Edit...	False	False	1.0484843	930	930, 6, 16	0	380
