	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Сертификатым пемгыдемдыме огыл. Кече ден жапым шке компьютерыштет терге.	Remote Connection Failed	The certificate is not valid yet. Check that your computer's date and time are accurate.	False	False	1.4741997	127	127, 956, 669	0	500
1	%s %s. Ешартыш увераҥарым налашлан, `%s -h' пого.	At %s since %s	%s %s. Try `%s -h' for more information.	False	False	1.5467184	652	652, 584, 582	0	383
2	Пайдаланышым тӱкылаш	Co_nversations:	Block User	False	False	1.6573501	629	629, 111, 377	0	765
3	Электронике	^Try Lubuntu without installing	Electronics	False	False	1.5836884	986	986, 935, 198	0	172
4	Каталог серверым йодыштын кертме огыл.	^Try Mythbuntu without installing	Could not query the directory server.	False	False	1.4986885	935	935, 404, 864	0	97
5	detach: Тиде сессийым кӱрлаш	detach: Detach this session	detach: Detach this session	True	True	1.6312377	779	779, 796, 479	1.0	779
6	Тӱшка-влакым иктыш ушаш	From last sent message	Merge Groups	False	False	1.6063559	752	752, 111, 910	0	494
7	Монитор	Cancel	Monitor	False	False	1.6500156	332	332, 984, 285	0	516
8	Пыштыше	Shy	Boot loader	False	False	1.5254273	711	711, 479, 91	0	471
9	Тиде вашкылым кораҥдет гын, тушко пурышо чыламутланыше кораҥдалтеш	Okay, wait outside.	Removing this contact will also remove all the buddies in the contact	False	False	1.5816208	2	2, 111, 18	0	251
10	Тый %s мутланымаш лӱмер гыч кораҥдет. Шуйынет?	How many theaters are there in Yoshkar-Ola?	You are about to remove %s from your buddy list. Do you want to continue?	False	False	1.6199818	4	4, 111, 608	0	653
11	Койдымолан каласымашым колташ огеш лий:	Co_nversations:	Message could not be sent, not allowed while invisible:	False	False	1.5497973	629	629, 127, 78	0	386
12	Возалтмаш йоҥылыш	Save Playlist…	Registration Error	False	False	1.607527	335	335, 784, 796	0	242
13	PIN-код чын огыл. Тудо цифр-влак дене гына лийшаш [0-9].	Novell GroupWise Messenger Protocol Plug-in	The PIN is invalid. It should only consist of digits [0-9].	False	False	1.4552472	474	474, 424, 889	0	409
14	_Пайдаланыше лӱм:	Co_nversations:	User_name:	False	False	1.598774	629	629, 616, 121	0	705
15	%s Финч угыч ушнаш тӧчаш огеш тӱҥал, кызыт йоҥылышым тӧрлате да шке шотан возышым угыч чӱктӧ.	Join whom in chat?	%s Finch will not attempt to reconnect the account until you correct the error and re-enable the account.	False	False	1.5609709	111	111, 796, 191	0	960
16	Mxit дене ушымо годым йоҥылыш лийын. (лудмо йыжыҥ 0x05)	Co_nversations:	A connection error occurred to MXit. (read stage 0x05)	False	False	1.5138822	629	629, 752, 693	0	447
17	Пайдаланыше-влакым кычалаш...	Join whom in chat?	Search for Users...	False	False	1.6222534	111	111, 519, 444	0	129
18	ayttm	ayttm	ayttm	True	True	1.5951251	353	353, 796, 973	1.0	353
19	Чынлыкым терген керташ ыш лий: %s	Add new line in Chats	Unable to authenticate: %s	False	False	1.5735884	171	171, 263, 796	0	950
20	Экраным пырля кучылтмаш	Internet Radio	Screen Sharing	False	False	1.5567149	360	360, 954, 171	0	805
21	%s -лан йолташ лӱмым шынде.	Save buddylist to file...	Set friendly name for %s.	False	False	1.6342044	404	404, 390, 796	0	791
22	Угыч аныклаш	Co_nversations:	Overwrite	False	False	1.603854	629	629, 567, 111	0	467
23	Шке IM	Lastlog	Personal IM	False	False	1.6650654	600	600, 247, 276	0	868
24	Авторизацийым ӧрдыжтарыме нерген каласымаш:	Co_nversations:	Authorization Denied Message:	False	False	1.6225156	629	629, 525, 127	0	645
25	Публичне сравочым тергаш	Verify Public Key	Verify Public Key	True	True	1.6343608	712	712, 988, 843	1.0	712
26	Аудиокнига-влакын библиотека	Auto-join	Audiobooks Library	False	True	1.5855074	82	82, 482, 266	0.5	482
27	Bangarang	Bangarang	Bangarang	True	True	1.4767901	720	720, 737, 575	1.0	720
28	Тунемашлан	Possible Matches	Education	False	False	1.6778077	898	898, 514, 443	0	521
29	Тототлымвер нерген келшыше увераҥарым пурто, кушко тый ушнынет ыле.	Okay, wait outside.	Please enter the appropriate information about the chat you would like to join.	False	False	1.5534365	2	2, 78, 202	0	182
30	Журнал-влак	0 people in room	Logging	False	False	1.6733929	390	390, 377, 285	0	400
31	Тиде эмым йӱат гын, тылат куштылгырак лиеш.	Use last buddy when scores are equal	You'll feel better if you drink this medicine.	False	False	1.6020758	78	78, 111, 427	0	46
