	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Nem szavaztam.	I kept my word.	I didn't vote.	False	False	1.3073298	627	627, 483, 757	0	221
1	- Még valamit? - Nem, ennyi volt az egész.	Did I miss something?	"""Anything else?"" ""No, that's all."""	False	False	1.3157446	39	39, 251, 400	0	417
2	Merry fél a kutyáktól.	Peter is buying a tomcat.	Merry is scared of dogs.	False	False	1.4185123	715	715, 841, 758	0	694
3	Nagy nap ez a mai, fiam!	Today is a big day, son!	Today is a big day, son!	True	True	1.258975	758	758, 753, 830	1.0	758
4	Linda nagyon szereti a csokoládét.	Linda likes chocolate very much.	Linda likes chocolate very much.	True	True	1.3322053	809	809, 162, 12	1.0	809
5	Na végre, hogy esik!	Today is a big day, son!	Thank God, it is finally raining.	False	False	1.3415024	758	758, 411, 830	0	605
6	El fogom olvasni ezt a könyvet.	I'll read this book.	I'll read this book.	True	True	1.3461351	565	565, 383, 758	1.0	565
7	Végül a busz megállt.	I went down by elevator.	At last, the bus stopped.	False	True	1.2625477	483	483, 590, 973	0.5	590
8	Úgy gondolom, még várhatnánk egy fél órát.	Today is a big day, son!	I think we should wait another half an hour.	False	True	1.2380936	758	758, 581, 78	0.3333333333333333	78
9	A hozzászólásaid mindig nagyon hasznosak számomra.	Today is a big day, son!	Your comments were always very helpful to me.	False	False	1.3324518	758	758, 294, 612	0	938
10	Mi egy pár vagyunk.	You are drunk!	We're a couple.	False	False	1.3626531	612	612, 454, 433	0	849
11	Két szép fia van.	He has two beautiful boys.	He has two beautiful boys.	True	True	1.3180773	284	284, 183, 778	1.0	284
12	A fenébe! Nem találom a pénztárcámat.	You are drunk!	Damn! I can't find my wallet.	False	False	1.311573	612	612, 758, 633	0	395
13	Nem tudtam, hová mehetnék.	Take it home.	I didn't know where to go.	False	False	1.3696666	797	797, 760, 673	0	316
14	Az élet csodaszép.	This is silly!	Life is sweet.	False	False	1.3877714	830	830, 642, 760	0	143
15	Kötelező autót bérelni?	Is it obligatory to rent a car?	Is it obligatory to rent a car?	True	True	1.2812407	568	568, 388, 294	1.0	568
16	Nem vagyok az a trendi típus.	The 23 fits you better.	I'm not the trendy type.	False	False	1.3819152	375	375, 758, 485	0	99
17	Jó nap ez a mai!	Today is a good day!	Today is a good day!	True	True	1.44139	753	753, 758, 577	1.0	753
18	Önök beszélnek oroszul?	Where is the laundry?	Do you speak Russian?	False	False	1.3008518	633	633, 758, 359	0	881
19	A zene túl hangos.	Turn on the radio.	The music is too loud.	False	False	1.3835723	115	115, 864, 411	0	576
20	Igaz, hogy művelt, de hiányzik belőle a bölcsesség.	Our teacher is a gentleman in the true sense of the word.	It is true he is a learned man, but he lacks common sense.	False	False	1.2272472	672	672, 38, 905	0	457
21	Kérem, hogy hétfőn jöjjön.	Today is a big day, son!	Please come on Monday.	False	False	1.3513108	758	758, 141, 485	0	645
22	Mindig elsőként nyílik panaszra a szája.	I was humiliated in public.	He's always the first to complain.	False	False	1.3090632	249	249, 166, 548	0	197
23	Mindenki azt akarja hallani, amit hallani akar.	Everyone wants to hear what everyone wants to hear.	Everyone wants to hear what everyone wants to hear.	True	True	1.2318788	883	883, 166, 785	1.0	883
24	Tom odaégette a borjút.	What a palaver!	Tom branded the calf.	False	False	1.347817	294	294, 375, 84	0	125
25	Ha nincs hír, az jó hír.	I saw somebody steal the merchandise.	No news is good news.	False	False	1.3260305	835	835, 152, 350	0	967
26	Nem itta meg a tejet.	Get your butt over here!	She didn't drink the milk.	False	False	1.35934	735	735, 375, 485	0	531
27	Két óra van.	Today is a big day, son!	It's two o'clock.	False	True	1.3433962	758	758, 753, 754	0.3333333333333333	754
28	Ez mind miattad van.	The 23 fits you better.	All of this is because of you.	False	False	1.3801446	375	375, 577, 611	0	988
29	A kommunizmustól való félelem nagyon erős volt abban az időben.	Fear of communism was very strong at that time.	Fear of communism was very strong at that time.	True	True	1.1866875	934	934, 933, 977	1.0	934
30	Tomi mindig panaszkodik, igaz?	Who is sick?	Tom always complains, doesn't he?	False	True	1.2783942	400	400, 25, 534	0.3333333333333333	534
31	Tom sokat beszél.	Tom talks quite a lot.	Tom talks quite a lot.	True	True	1.2650743	333	333, 294, 433	1.0	333
32	Mi történt ott pontosan?	Did I miss something?	What exactly happened there?	False	True	1.3739636	39	39, 400, 928	0.3333333333333333	928
33	Mi az ő foglalkozása?	Where is the laundry?	What's her occupation?	False	False	1.3334575	633	633, 400, 751	0	586
34	Gondoltam, hogy talán akarnál enni valamit.	This is silly!	I thought you might like something to eat.	False	False	1.3142643	830	830, 166, 479	0	85
35	Ez hülye!	This is silly!	This is silly!	True	True	1.3930445	830	830, 577, 753	1.0	830
36	Kell nekem egy bélyeg.	Blue suits you well.	I need a stamp.	False	False	1.4354013	628	628, 812, 762	0	258
37	Szabad még egyszer hívnom téged?	Today is a big day, son!	May I call on you again?	False	False	1.325578	758	758, 375, 388	0	88
38	Ez a szó nem található a listán.	This word is not found in the list.	This word is not found in the list.	True	True	1.3112116	663	663, 266, 217	1.0	663
39	Azt gondoltam, helyesen cselekszem.	The noise gets on my nerves.	I thought I was doing the right thing.	False	False	1.2299559	166	166, 162, 581	0	51
40	Nem hiszem el, hogy Tom igent mondott.	The noise gets on my nerves.	I can't believe Tom said yes.	False	False	1.2806177	166	166, 499, 534	0	490
41	Te nem törődsz velem.	Don't tread on it.	You don't care about me.	False	False	1.2977347	557	557, 485, 591	0	323
42	Hívom az ügyvédemet.	We'll make a sailor out of you yet.	I'm calling my lawyer.	False	False	1.3451922	485	485, 797, 738	0	528
43	Nem lesz ennek jó vége.	No one has that right.	This isn't going to end well.	False	False	1.3861082	392	392, 433, 300	0	73
44	A csoki édes.	What a palaver!	Chocolate tastes sweet.	False	False	1.4250674	294	294, 830, 593	0	133
