	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Nem szavaztam.	You sent me your photo.	I didn't vote.	False	False	1.3398958	779	779, 738, 364	0	221
1	- Még valamit? - Nem, ennyi volt az egész.	Did I miss something?	"""Anything else?"" ""No, that's all."""	False	False	1.296299	39	39, 738, 875	0	417
2	Merry fél a kutyáktól.	I saw somebody steal the merchandise.	Merry is scared of dogs.	False	False	1.4288094	835	835, 375, 864	0	694
3	Nagy nap ez a mai, fiam!	This is silly!	Today is a big day, son!	False	True	1.3272846	830	830, 758, 344	0.5	758
4	Linda nagyon szereti a csokoládét.	Linda likes chocolate very much.	Linda likes chocolate very much.	True	True	1.3623804	809	809, 158, 694	1.0	809
5	Na végre, hogy esik!	Please let go of my arm.	Thank God, it is finally raining.	False	False	1.3819433	381	381, 300, 495	0	605
6	El fogom olvasni ezt a könyvet.	The 23 fits you better.	I'll read this book.	False	False	1.3851897	375	375, 738, 779	0	565
7	Végül a busz megállt.	I went down by elevator.	At last, the bus stopped.	False	True	1.231176	483	483, 6, 590	0.3333333333333333	590
8	Úgy gondolom, még várhatnánk egy fél órát.	The 23 fits you better.	I think we should wait another half an hour.	False	False	1.3229526	375	375, 256, 738	0	78
9	A hozzászólásaid mindig nagyon hasznosak számomra.	Do you mind their coming too?	Your comments were always very helpful to me.	False	False	1.4291077	91	91, 738, 375	0	938
10	Mi egy pár vagyunk.	Will you go with Tom?	We're a couple.	False	False	1.3067783	304	304, 388, 875	0	849
11	Két szép fia van.	He has two beautiful boys.	He has two beautiful boys.	True	True	1.3216364	284	284, 158, 548	1.0	284
12	A fenébe! Nem találom a pénztárcámat.	You are drunk!	Damn! I can't find my wallet.	False	False	1.3941287	612	612, 364, 875	0	395
13	Nem tudtam, hová mehetnék.	Leave that there.	I didn't know where to go.	False	False	1.3320063	300	300, 326, 291	0	316
14	Az élet csodaszép.	Storm in a teacup.	Life is sweet.	False	False	1.4218631	728	728, 375, 628	0	143
15	Kötelező autót bérelni?	You have foul breath.	Is it obligatory to rent a car?	False	False	1.2935934	738	738, 247, 69	0	568
